district_code,district_name
14_1,MAHABUBNAGAR
14_2,JOGULAMBA GADWAL
14_3,NAGARKURNOOL
14_4,WANAPARTHY
14_5,NARAYANPET
15_1,RANGAREDDY
15_2,MEDCHAL-MALKAJGIRI
15_3,VIKARABAD
16_1,HYDERABAD
17_1,MEDAK
17_2,SANGAREDDY
17_3,SIDDIPET
18_1,NIZAMABAD
18_2,KAMAREDDY
19_1,ADILABAD
19_2,NIRMAL
19_3,MANCHERIAL
19_4,KOMARAM BHEEM ASIFABAD
20_1,KARIMNAGAR
20_2,JAGTIAL
20_3,RAJANNA SIRCILLA
20_4,PEDDAPALLI
21_1,HANUMAKONDA
21_2,WARANGAL
21_3,JANGAON
21_4,JAYASHANKAR BHOOPALPALLY
21_5,MAHABUBABAD
21_6,MULUGU
22_1,KHAMMAM
22_2,BHADRADRI KOTHAGUDEM
23_1,NALGONDA
23_2,SURYAPET
23_3,YADADRI BHUVANAGIRI
